user,train_session,threshold_strategy,threshold_value,balanced_accuracy,fmr,fnmr
s020,2,fixed,0.5,0.6266,0.7468,0.0
s020,3,fixed,0.5,0.5,1.0,0.0
s020,4,fixed,0.5,0.5,1.0,0.0
s020,5,fixed,0.5,0.5856,0.8088,0.02
s020,6,fixed,0.5,0.5172,0.9656,0.0
s020,7,fixed,0.5,0.5973999999999999,0.6452,0.16
s021,1,fixed,0.5,0.562,0.876,0.0
s021,2,fixed,0.5,0.6372,0.7056,0.02
s021,3,fixed,0.5,0.6694,0.6612,0.0
s021,4,fixed,0.5,0.6842,0.6116,0.02
s021,5,fixed,0.5,0.6304,0.7392,0.0
s021,6,fixed,0.5,0.5,1.0,0.0
s021,7,fixed,0.5,0.5,1.0,0.0
s022,1,fixed,0.5,0.5,1.0,0.0
s022,2,fixed,0.5,0.5,1.0,0.0
s022,3,fixed,0.5,0.611,0.778,0.0
s022,4,fixed,0.5,0.5,1.0,0.0
s022,5,fixed,0.5,0.739,0.522,0.0
s022,6,fixed,0.5,0.5,1.0,0.0
s022,7,fixed,0.5,0.5,1.0,0.0
s024,1,fixed,0.5,0.5,1.0,0.0
s024,2,fixed,0.5,0.77,0.46,0.0
s024,3,fixed,0.5,0.8118000000000001,0.3764,0.0
s024,4,fixed,0.5,0.5766,0.8468,0.0
s024,5,fixed,0.5,0.5,1.0,0.0
s024,6,fixed,0.5,0.5,1.0,0.0
s024,7,fixed,0.5,0.5,1.0,0.0
s025,1,fixed,0.5,0.5466,0.9068,0.0
s025,2,fixed,0.5,0.5038,0.9924,0.0
s025,3,fixed,0.5,0.5,1.0,0.0
s025,4,fixed,0.5,0.5552,0.8896,0.0
s025,5,fixed,0.5,0.5,1.0,0.0
s025,6,fixed,0.5,0.5,1.0,0.0
s025,7,fixed,0.5,0.5,1.0,0.0
s026,1,fixed,0.5,0.5,1.0,0.0
s026,2,fixed,0.5,0.5,1.0,0.0
s026,3,fixed,0.5,0.5012,0.9976,0.0
s026,4,fixed,0.5,0.5666,0.7668,0.1
s026,5,fixed,0.5,0.5,1.0,0.0
s026,6,fixed,0.5,0.5,1.0,0.0
s026,7,fixed,0.5,0.6602,0.6796,0.0
s027,1,fixed,0.5,0.5,1.0,0.0
s027,2,fixed,0.5,0.5,1.0,0.0
s027,3,fixed,0.5,0.5,1.0,0.0
s027,4,fixed,0.5,0.5,1.0,0.0
s027,5,fixed,0.5,0.5,1.0,0.0
s027,6,fixed,0.5,0.5,1.0,0.0
s027,7,fixed,0.5,0.5,1.0,0.0
s028,1,fixed,0.5,0.6932,0.6136,0.0
s028,2,fixed,0.5,0.5,1.0,0.0
s028,3,fixed,0.5,0.5006,0.9988,0.0
s028,4,fixed,0.5,0.5,1.0,0.0
s028,5,fixed,0.5,0.6364,0.7272,0.0
s028,6,fixed,0.5,0.5,1.0,0.0
s028,7,fixed,0.5,0.6053999999999999,0.7892,0.0
s029,1,fixed,0.5,0.5866,0.8268,0.0
s029,2,fixed,0.5,0.5,1.0,0.0
s029,3,fixed,0.5,0.556,0.888,0.0
s029,4,fixed,0.5,0.5,1.0,0.0
s029,5,fixed,0.5,0.6864,0.5872,0.04
s029,6,fixed,0.5,0.5,1.0,0.0
s029,7,fixed,0.5,0.5,1.0,0.0
s030,1,fixed,0.5,0.5,1.0,0.0
s030,2,fixed,0.5,0.5956,0.7888,0.02
s030,3,fixed,0.5,0.5,1.0,0.0
s030,4,fixed,0.5,0.5,1.0,0.0
s030,5,fixed,0.5,0.6166,0.7668,0.0
s030,6,fixed,0.5,0.5,1.0,0.0
s030,7,fixed,0.5,0.5,1.0,0.0
s031,1,fixed,0.5,0.5,1.0,0.0
s031,2,fixed,0.5,0.5148,0.9704,0.0
s031,3,fixed,0.5,0.5,1.0,0.0
s031,4,fixed,0.5,0.5,1.0,0.0
s031,5,fixed,0.5,0.6956,0.6088,0.0
s031,6,fixed,0.5,0.5136,0.9328,0.04
s031,7,fixed,0.5,0.5,1.0,0.0
s032,1,fixed,0.5,0.6779999999999999,0.464,0.18
s032,2,fixed,0.5,0.5,1.0,0.0
s032,3,fixed,0.5,0.5,1.0,0.0
s032,4,fixed,0.5,0.7172000000000001,0.5456,0.02
s032,5,fixed,0.5,0.6112,0.6776,0.1
s032,6,fixed,0.5,0.5,1.0,0.0
s032,7,fixed,0.5,0.618,0.764,0.0
s033,1,fixed,0.5,0.6496,0.7008,0.0
s033,2,fixed,0.5,0.6656,0.6688,0.0
s033,3,fixed,0.5,0.5,1.0,0.0
s033,4,fixed,0.5,0.6706,0.6588,0.0
s033,5,fixed,0.5,0.5,1.0,0.0
s033,6,fixed,0.5,0.6562,0.6676,0.02
s033,7,fixed,0.5,0.6418,0.7164,0.0
s034,1,fixed,0.5,0.5,1.0,0.0
s034,2,fixed,0.5,0.5,1.0,0.0
s034,3,fixed,0.5,0.5,1.0,0.0
s034,4,fixed,0.5,0.5,1.0,0.0
s034,5,fixed,0.5,0.5454,0.9092,0.0
s034,6,fixed,0.5,0.5,1.0,0.0
s034,7,fixed,0.5,0.5,1.0,0.0
s035,1,fixed,0.5,0.5962,0.8076,0.0
s035,2,fixed,0.5,0.5,1.0,0.0
s035,3,fixed,0.5,0.5856,0.8288,0.0
s035,4,fixed,0.5,0.5,1.0,0.0
s035,5,fixed,0.5,0.5,1.0,0.0
s035,6,fixed,0.5,0.5,1.0,0.0
s035,7,fixed,0.5,0.6062,0.7876,0.0
s036,1,fixed,0.5,0.5,1.0,0.0
s036,2,fixed,0.5,0.5174,0.9652,0.0
s036,3,fixed,0.5,0.5,1.0,0.0
s036,4,fixed,0.5,0.6552,0.6896,0.0
s036,5,fixed,0.5,0.6934,0.6132,0.0
s036,6,fixed,0.5,0.5,1.0,0.0
s036,7,fixed,0.5,0.5,1.0,0.0
s037,1,fixed,0.5,0.626,0.748,0.0
s037,2,fixed,0.5,0.5,1.0,0.0
s037,3,fixed,0.5,0.5,1.0,0.0
s037,4,fixed,0.5,0.5,1.0,0.0
s037,5,fixed,0.5,0.5252,0.9496,0.0
s037,6,fixed,0.5,0.5,1.0,0.0
s037,7,fixed,0.5,0.5998,0.8004,0.0
s038,1,fixed,0.5,0.5,1.0,0.0
s038,2,fixed,0.5,0.6424,0.7152,0.0
s038,3,fixed,0.5,0.5,1.0,0.0
s038,4,fixed,0.5,0.519,0.962,0.0
s038,5,fixed,0.5,0.5,1.0,0.0
s038,6,fixed,0.5,0.5004,0.9992,0.0
s038,7,fixed,0.5,0.5,1.0,0.0
s039,1,fixed,0.5,0.6668000000000001,0.6664,0.0
s039,2,fixed,0.5,0.537,0.926,0.0
s039,3,fixed,0.5,0.5,1.0,0.0
s039,4,fixed,0.5,0.5,1.0,0.0
s039,5,fixed,0.5,0.7252000000000001,0.5496,0.0
s039,6,fixed,0.5,0.5,1.0,0.0
s039,7,fixed,0.5,0.5284,0.9432,0.0
s040,1,fixed,0.5,0.5,1.0,0.0
s040,2,fixed,0.5,0.5,1.0,0.0
s040,3,fixed,0.5,0.5138,0.9724,0.0
s040,4,fixed,0.5,0.6814,0.6372,0.0
s040,5,fixed,0.5,0.5788,0.8424,0.0
s040,6,fixed,0.5,0.5,1.0,0.0
s040,7,fixed,0.5,0.5754,0.8292,0.02
s041,1,fixed,0.5,0.5,1.0,0.0
s041,2,fixed,0.5,0.6196,0.7608,0.0
s041,3,fixed,0.5,0.6338,0.7324,0.0
s041,4,fixed,0.5,0.5258,0.9484,0.0
s041,5,fixed,0.5,0.6314,0.7372,0.0
s041,6,fixed,0.5,0.5,1.0,0.0
s041,7,fixed,0.5,0.5,1.0,0.0
s042,1,fixed,0.5,0.5,1.0,0.0
s042,2,fixed,0.5,0.6428,0.7144,0.0
s042,3,fixed,0.5,0.5346,0.9308,0.0
s042,4,fixed,0.5,0.5,1.0,0.0
s042,5,fixed,0.5,0.5,1.0,0.0
s042,6,fixed,0.5,0.5,1.0,0.0
s042,7,fixed,0.5,0.5,1.0,0.0
s043,1,fixed,0.5,0.5,1.0,0.0
s043,2,fixed,0.5,0.578,0.844,0.0
